Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5381202,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,11,Инд,Кирпичные,Октябрьский,2008.0,77.5,2.5,открытый двор,3,0,Косметический ремонт,6499.0
5404760,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Центр,1946.0,61.8,2.5,открытый двор,3,0,Косметический ремонт,3380.0
5390019,0,0,Пластиковые,есть,0,0,0,0,Два балкона и более,4,Инд,Панельные,Кукковка,2021.0,90.9,2.5,открытый двор,3,0,Улучшенная черновая отделка,5300.0
5368643,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Центр,2019.0,66.0,2.7,открытый двор,3,0,Современный ремонт,6700.0
5386765,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Зарека,1992.0,29.3,2.5,открытый двор,1,0,Косметический ремонт,1950.0
5374795,0,0,Деревянные,есть,1,0,0,0,Нет балкона,5,Инд,Кирпичные,Ключевая,1992.0,27.0,2.5,открытый двор,2,0,Частичный ремонт,1440.0
5369963,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2017.0,53.7,2.5,открытый двор,2,0,Косметический ремонт,4800.0
5362493,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Центр,1992.0,60.0,2.5,открытый двор,3,0,Косметический ремонт,5700.0
5388204,0,0,Пластиковые,есть,1,0,0,0,Лоджия,9,Инд,Панельные,Перевалка,1992.0,36.0,2.5,открытый двор,1,0,Косметический ремонт,2999.0
5377542,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335,Панельные,Октябрьский,1967.0,45.1,2.5,открытый двор,2,0,Косметический ремонт,3150.0
5396946,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Кукковка,1971.0,44.0,2.5,открытый двор,2,0,Косметический ремонт,2699.0
5380135,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Первомайский,1992.0,60.0,2.5,открытый двор,3,0,Косметический ремонт,3900.0
5365039,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Центр,1965.0,46.0,2.5,открытый двор,2,0,Косметический ремонт,3080.0
5374088,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Октябрьский,1992.0,35.7,2.5,открытый двор,2,0,Косметический ремонт,1670.0
5394449,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,Инд,Панельные,Перевалка,1993.0,63.3,2.5,открытый двор,3,0,Косметический ремонт,3999.0
5408597,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2014.0,71.6,2.5,открытый двор,3,0,Современный ремонт,5600.0
5388056,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Ключевая,1975.0,65.3,2.5,открытый двор,3,0,Косметический ремонт,4350.0
5410290,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1971.0,59.8,2.5,открытый двор,3,0,Современный ремонт,3750.0
5367124,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,2-68-1-0,Монолитные,Кукковка,1988.0,65.3,2.5,открытый двор,3,0,Косметический ремонт,4100.0
5390033,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Панельные,Кукковка,2020.0,64.0,2.7,открытый двор,3,0,Улучшенная черновая отделка,3550.0
5346596,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,1992.0,52.0,2.5,открытый двор,3,0,Улучшенная черновая отделка,3250.0
5300545,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Перевалка,2012.0,36.9,2.6,открытый двор,2,0,Современный ремонт,3950.0
5344313,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,6,Инд,Панельные,Древлянка,2020.0,62.2,2.7,закрытый двор,2,0,Улучшенная черновая отделка,3599.0
5348952,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Зарека,1979.0,13.0,2.5,открытый двор,1,0,Косметический ремонт,500.0
5327122,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,34.2,2.5,открытый двор,1,0,Косметический ремонт,2800.0
5346659,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Сулажгора,1990.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,600.0
5310531,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Зарека,2001.0,68.3,2.6,открытый двор,3,0,Косметический ремонт,5000.0
5309739,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Общ,Кирпичные,Голиковка,1974.0,12.0,2.5,открытый двор,1,0,Косметический ремонт,600.0
5350788,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1979.0,59.3,2.5,открытый двор,4,0,Косметический ремонт,3199.0
5299861,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Общ,Панельные,Ключевая,1980.0,16.5,2.5,открытый двор,1,0,Косметический ремонт,675.0
5334103,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,Инд,Панельные,Перевалка,1994.0,34.2,2.5,открытый двор,1,0,Косметический ремонт,2450.0
5327738,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Ключевая,1975.0,12.5,2.5,открытый двор,1,0,Косметический ремонт,570.0
5330484,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Кирпичные,Зарека,1952.0,77.6,2.5,открытый двор,3,0,Современный ремонт,4000.0
5308295,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Кукковка,2015.0,34.0,2.5,открытый двор,1,0,Косметический ремонт,2700.0
5324062,0,0,Деревянные,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Кукковка,1986.0,39.2,2.5,открытый двор,1,0,Косметический ремонт,2360.0
5338232,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,3,Инд,Кирпичные,Кукковка,2015.0,35.6,2.8,открытый двор,1,0,Косметический ремонт,2500.0
5342421,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Перевалка,2008.0,74.0,2.5,открытый двор,3,0,Косметический ремонт,5590.0
5309447,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2018.0,28.7,2.5,открытый двор,1,0,Косметический ремонт,2400.0
